date;name;Custom
2014-01-01;NEW YEAR'S DAY;GLOBAL
2014-01-02;NEW YEAR'S DAY;SCOTLAND
2014-04-18;GOOD FRIDAY;GLOBAL
2014-04-21;EASTER MONDAY;ENGLAND AND WALES
2014-05-05;EARLY MAY BANK HOLIDAY;GLOBAL
2014-05-26;SPRING BANK HOLIDAY;GLOBAL
2014-08-04;SUMMER BANK HOLIDAY;SCOTLAND
2014-08-25;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2014-11-30;SAINT ANDREW'S DAY;SCOTLAND
2014-12-25;CHRISTMAS DAY;GLOBAL
2014-12-26;ST. STEPHEN'S DAY;GLOBAL
2015-01-01;NEW YEAR'S DAY;GLOBAL
2015-01-02;NEW YEAR'S DAY;SCOTLAND
2015-04-03;GOOD FRIDAY;GLOBAL
2015-04-06;EASTER MONDAY;ENGLAND AND WALES
2015-05-04;EARLY MAY BANK HOLIDAY;GLOBAL
2015-05-25;SPRING BANK HOLIDAY;GLOBAL
2015-08-03;SUMMER BANK HOLIDAY;SCOTLAND
2015-08-31;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2015-11-30;SAINT ANDREW'S DAY;SCOTLAND
2015-12-25;CHRISTMAS DAY;GLOBAL
2015-12-28;ST. STEPHEN'S DAY;GLOBAL
2016-01-01;NEW YEAR'S DAY;GLOBAL
2016-01-04;NEW YEAR'S DAY;SCOTLAND
2016-03-25;GOOD FRIDAY;GLOBAL
2016-03-28;EASTER MONDAY;ENGLAND AND WALES
2016-05-02;EARLY MAY BANK HOLIDAY;GLOBAL
2016-05-30;SPRING BANK HOLIDAY;GLOBAL
2016-08-01;SUMMER BANK HOLIDAY;SCOTLAND
2016-08-29;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2016-11-30;SAINT ANDREW'S DAY;SCOTLAND
2016-12-26;ST. STEPHEN'S DAY;GLOBAL
2016-12-27;CHRISTMAS DAY;GLOBAL
2017-01-02;NEW YEAR'S DAY;ENGLAND AND WALES
2017-01-02;NEW YEAR'S DAY;SCOTLAND
2017-01-03;NEW YEAR'S DAY;SCOTLAND
2017-04-14;GOOD FRIDAY;GLOBAL
2017-04-17;EASTER MONDAY;ENGLAND AND WALES
2017-05-01;EARLY MAY BANK HOLIDAY;GLOBAL
2017-05-29;SPRING BANK HOLIDAY;GLOBAL
2017-08-07;SUMMER BANK HOLIDAY;SCOTLAND
2017-08-28;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2017-11-30;SAINT ANDREW'S DAY;SCOTLAND
2017-12-25;CHRISTMAS DAY;GLOBAL
2017-12-26;ST. STEPHEN'S DAY;GLOBAL
2018-01-01;NEW YEAR'S DAY;GLOBAL
2018-01-02;NEW YEAR'S DAY;SCOTLAND
2018-03-30;GOOD FRIDAY;GLOBAL
2018-04-02;EASTER MONDAY;ENGLAND AND WALES
2018-05-07;EARLY MAY BANK HOLIDAY;GLOBAL
2018-05-28;SPRING BANK HOLIDAY;GLOBAL
2018-08-06;SUMMER BANK HOLIDAY;SCOTLAND
2018-08-27;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2018-11-30;SAINT ANDREW'S DAY;SCOTLAND
2018-12-25;CHRISTMAS DAY;GLOBAL
2018-12-26;ST. STEPHEN'S DAY;GLOBAL
2019-01-01;NEW YEAR'S DAY;GLOBAL
2019-01-02;NEW YEAR'S DAY;SCOTLAND
2019-04-19;GOOD FRIDAY;GLOBAL
2019-04-22;EASTER MONDAY;ENGLAND AND WALES
2019-05-06;EARLY MAY BANK HOLIDAY;GLOBAL
2019-05-27;SPRING BANK HOLIDAY;GLOBAL
2019-08-05;SUMMER BANK HOLIDAY;SCOTLAND
2019-08-26;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2019-11-30;SAINT ANDREW'S DAY;SCOTLAND
2019-12-25;CHRISTMAS DAY;GLOBAL
2019-12-26;ST. STEPHEN'S DAY;GLOBAL
2020-01-01;NEW YEAR'S DAY;GLOBAL
2020-01-02;NEW YEAR'S DAY;SCOTLAND
2020-04-10;GOOD FRIDAY;GLOBAL
2020-04-13;EASTER MONDAY;ENGLAND AND WALES
2020-05-08;EARLY MAY BANK HOLIDAY;GLOBAL
2020-05-25;SPRING BANK HOLIDAY;GLOBAL
2020-08-03;SUMMER BANK HOLIDAY;SCOTLAND
2020-08-31;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2020-11-30;SAINT ANDREW'S DAY;SCOTLAND
2020-12-25;CHRISTMAS DAY;GLOBAL
2020-12-28;ST. STEPHEN'S DAY;GLOBAL
2021-01-01;NEW YEAR'S DAY;GLOBAL
2021-01-04;NEW YEAR'S DAY;SCOTLAND
2021-04-02;GOOD FRIDAY;GLOBAL
2021-04-05;EASTER MONDAY;ENGLAND AND WALES
2021-05-03;EARLY MAY BANK HOLIDAY;GLOBAL
2021-05-31;SPRING BANK HOLIDAY;GLOBAL
2021-08-02;SUMMER BANK HOLIDAY;SCOTLAND
2021-08-30;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2021-11-30;SAINT ANDREW'S DAY;SCOTLAND
2021-12-27;CHRISTMAS DAY;GLOBAL
2021-12-28;ST. STEPHEN'S DAY;GLOBAL
2022-01-03;NEW YEAR'S DAY;ENGLAND AND WALES
2022-01-03;NEW YEAR'S DAY;SCOTLAND
2022-01-04;NEW YEAR'S DAY;SCOTLAND
2022-04-15;GOOD FRIDAY;GLOBAL
2022-04-18;EASTER MONDAY;ENGLAND AND WALES
2022-05-02;EARLY MAY BANK HOLIDAY;GLOBAL
2022-06-02;SPRING BANK HOLIDAY;GLOBAL
2022-06-03;QUEEN’S PLATINUM JUBILEE;GLOBAL
2022-08-01;SUMMER BANK HOLIDAY;SCOTLAND
2022-08-29;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2022-09-19;QUEEN’S STATE FUNERAL;GLOBAL
2022-11-30;SAINT ANDREW'S DAY;SCOTLAND
2022-12-26;ST. STEPHEN'S DAY;GLOBAL
2022-12-27;CHRISTMAS DAY;GLOBAL
2023-01-02;NEW YEAR'S DAY;ENGLAND AND WALES
2023-01-02;NEW YEAR'S DAY;SCOTLAND
2023-01-03;NEW YEAR'S DAY;SCOTLAND
2023-04-07;GOOD FRIDAY;GLOBAL
2023-04-10;EASTER MONDAY;ENGLAND AND WALES
2023-05-01;EARLY MAY BANK HOLIDAY;GLOBAL
2023-05-08;CORONATION BANK HOLIDAY;GLOBAL
2023-05-29;SPRING BANK HOLIDAY;GLOBAL
2023-08-07;SUMMER BANK HOLIDAY;SCOTLAND
2023-08-28;SUMMER BANK HOLIDAY;ENGLAND AND WALES
2023-11-30;SAINT ANDREW'S DAY;SCOTLAND
2023-12-25;CHRISTMAS DAY;GLOBAL
2023-12-26;ST. STEPHEN'S DAY;GLOBAL
